"","id","cell","file","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","/flask/scratch/papayannopoulosv/khurang/hmgn_scrna/march/plots/","Monocytes","hmgn12kovs_bm_wt.csv","Cop1",8.17295462582833e-09,-0.400863373472187,0.248,0.313,0.000100069656438642
"2","/flask/scratch/papayannopoulosv/khurang/hmgn_scrna/march/plots/","Monocytes","hmgn12kovs_bm_wt.csv","Por",8.18438431361622e-09,-0.608453583363355,0.113,0.164,0.000100209601535917
"3","/flask/scratch/papayannopoulosv/khurang/hmgn_scrna/march/plots/","Monocytes","hmgn12kovs_bm_wt.csv","Nenf",8.20075355424212e-09,-0.660258418692936,0.082,0.128,0.00010041002651814
"4","/flask/scratch/papayannopoulosv/khurang/hmgn_scrna/march/plots/","Monocytes","hmgn12kovs_bm_wt.csv","Pip4k2a",8.22106119729699e-09,-0.312724331784528,0.443,0.505,0.000100658673299704
"5","/flask/scratch/papayannopoulosv/khurang/hmgn_scrna/march/plots/","Monocytes","hmgn12kovs_bm_wt.csv","Atxn7l3",8.28502698544371e-09,-0.500780204685739,0.185,0.245,0.000101441870409773
"6","/flask/scratch/papayannopoulosv/khurang/hmgn_scrna/march/plots/","Monocytes","hmgn12kovs_bm_wt.csv","Il10rb",8.41923709322655e-09,-0.462587501374454,0.219,0.281,0.000103085138969466
"7","/flask/scratch/papayannopoulosv/khurang/hmgn_scrna/march/plots/","Monocytes","hmgn12kovs_bm_wt.csv","Dcp2",8.50024570050018e-09,-0.503523431919635,0.136,0.192,0.000104077008356924
"8","/flask/scratch/papayannopoulosv/khurang/hmgn_scrna/march/plots/","Monocytes","hmgn12kovs_bm_wt.csv","Mkln1",8.51085376202759e-09,-0.519850633066746,0.15,0.207,0.000104206893462266
"9","/flask/scratch/papayannopoulosv/khurang/hmgn_scrna/march/plots/","Monocytes","hmgn12kovs_bm_wt.csv","Atxn3",8.54149902760531e-09,-0.351744446442552,0.225,0.291,0.000104582114093999
"10","/flask/scratch/papayannopoulosv/khurang/hmgn_scrna/march/plots/","Monocytes","hmgn12kovs_bm_wt.csv","Ampd3",8.56553718315966e-09,-0.378683910984637,0.298,0.363,0.000104876437270607
"11","/flask/scratch/papayannopoulosv/khurang/hmgn_scrna/march/plots/","Monocytes","hmgn12kovs_bm_wt.csv","Dvl1",8.70917888782198e-09,-0.589367467328178,0.086,0.134,0.000106635186302492
